date,price
2025-12-18,444.5
2025-12-19,443.75
2025-12-22,447.0
2025-12-23,447.5
2025-12-24,451.0
2025-12-26,450.0
2025-12-29,442.25
2025-12-30,440.5
2025-12-31,440.25
2026-01-02,437.5
2026-01-05,444.5
2026-01-06,444.0
2026-01-07,446.75
2026-01-08,446.0
2026-01-09,445.75
2026-01-12,421.5
2026-01-13,419.75
2026-01-14,422.0
2026-01-15,420.25
2026-01-16,424.75
2026-01-20,423.75
2026-01-21,421.75
2026-01-22,424.0
2026-01-23,430.5
2026-01-26,428.25
2026-01-27,426.5
2026-01-28,430.0
2026-01-29,430.75
2026-01-30,428.25
2026-02-02,425.75
2026-02-03,428.5
2026-02-04,429.5
2026-02-05,435.0
2026-02-06,430.25
2026-02-09,428.75
2026-02-10,428.75
2026-02-11,427.5
2026-02-12,431.25
2026-02-13,431.75
2026-02-17,426.25
2026-02-18,427.0
2026-02-19,425.75
2026-02-20,427.5
2026-02-23,427.5
2026-02-24,427.75
2026-02-25,430.5
2026-02-26,433.25
2026-02-27,438.75
2026-03-02,433.25
2026-03-03,434.25
2026-03-04,431.75
2026-03-05,441.5
2026-03-06,447.0
2026-03-09,437.5
2026-03-10,436.25
2026-03-11,444.25
2026-03-12,448.25
2026-03-13,452.5
2026-03-16,454.0
2026-03-17,454.0
2026-03-18,463.25
2026-03-19,469.75
2026-03-20,465.5
2026-03-23,459.5
2026-03-24,462.5
2026-03-25,467.25
2026-03-26,467.0
2026-03-27,462.0
2026-03-30,455.75
2026-03-31,457.75
2026-04-01,454.25
2026-04-02,452.25
2026-04-06,454.0
2026-04-07,449.0
2026-04-08,447.25
2026-04-09,444.0
2026-04-10,441.0
2026-04-13,440.25
2026-04-14,443.0
2026-04-15,451.25
2026-04-16,448.5
2026-04-17,448.75
2026-04-20,452.0
2026-04-21,453.75
2026-04-22,454.25
2026-04-23,455.5
2026-04-24,455.0
2026-04-27,460.75
2026-04-28,465.25
2026-04-29,475.75
